Familia,Valor,Th_C,Lstrike_km,h_km,L_int_km,Lmax_km,Npatches,Tmean_above_C,Ares_km2,Vres_km3,Vres_m3,Pe_W,Pe_MW,"Pe_R (conservador,0.02)","Pe_R (realista,0.05)",Promedio,PeA_MW_km2
Profundidad,8,150,10,1,30,30,1,185.9045993,300,300,300000000000,2145402471,2145.402471,42.90804942,107.2701235,75.08908648,7.15134157
Profundidad,8,150,20,1,30,30,1,185.9045993,600,600,600000000000,4290804942,4290.804942,85.81609884,214.5402471,150.178173,7.15134157
Profundidad,8,150,10,0.5,30,30,1,185.9045993,300,150,150000000000,1072701235,1072.701235,21.45402471,53.63506177,37.54454324,3.575670785
Profundidad,8,150,15,0.5,30,30,1,185.9045993,450,225,225000000000,1609051853,1609.051853,32.18103706,80.45259266,56.31681486,3.575670785
Profundidad,8,150,20,0.5,30,30,1,185.9045993,600,300,300000000000,2145402471,2145.402471,42.90804942,107.2701235,75.08908648,3.575670785
Profundidad,14,180,10,1,30,30,1,181.7730311,300,300,300000000000,2011864541,2011.864541,40.23729082,100.593227,70.41525893,6.706215136
Profundidad,14,180,15,1,30,30,1,181.7730311,450,450,450000000000,3017796811,3017.796811,60.35593622,150.8898406,105.6228884,6.706215136
Profundidad,14,180,20,1,30,30,1,181.7730311,600,600,600000000000,4023729082,4023.729082,80.47458163,201.1864541,140.8305179,6.706215136
Profundidad,14,180,10,0.5,30,30,1,181.7730311,300,150,150000000000,1005932270,1005.93227,20.11864541,50.29661352,35.20762946,3.353107568
Profundidad,14,180,15,0.5,30,30,1,181.7730311,450,225,225000000000,1508898406,1508.898406,30.17796811,75.44492028,52.81144419,3.353107568
Profundidad,14,180,20,0.5,30,30,1,181.7730311,600,300,300000000000,2011864541,2011.864541,40.23729082,100.593227,70.41525893,3.353107568
Profundidad,4,150,10,1,30,30,1,186.4898803,300,300,300000000000,2164646788,2164.646788,43.29293576,108.2323394,75.76263759,7.215489294
Profundidad,4,150,15,1,30,30,1,186.4898803,450,450,450000000000,3246970182,3246.970182,64.93940365,162.3485091,113.6439564,7.215489294
Profundidad,4,150,20,1,30,30,1,186.4898803,600,600,600000000000,4329293576,4329.293576,86.58587153,216.4646788,151.5252752,7.215489294
Profundidad,4,150,10,0.5,30,30,1,186.4898803,300,150,150000000000,1082323394,1082.323394,21.64646788,54.11616971,37.88131879,3.607744647
Profundidad,4,150,15,0.5,30,30,1,186.4898803,450,225,225000000000,1623485091,1623.485091,32.46970182,81.17425456,56.82197819,3.607744647
Profundidad,4,150,20,0.5,30,30,1,186.4898803,600,300,300000000000,2164646788,2164.646788,43.29293576,108.2323394,75.76263759,3.607744647
Profundidad,2,150,10,1,27.8906,13.9453,2,187.3637111,278.906,278.906,278906000000,2039295489,2039.295489,40.78590979,101.9647745,71.37534213,7.311766292
Profundidad,2,150,15,1,27.8906,13.9453,2,187.3637111,418.359,418.359,418359000000,3058943234,3058.943234,61.17886468,152.9471617,107.0630132,7.311766292
Profundidad,2,150,20,1,27.8906,13.9453,2,187.3637111,557.812,557.812,557812000000,4078590979,4078.590979,81.57181957,203.9295489,142.7506843,7.311766292
Profundidad,2,150,10,0.5,27.8906,13.9453,2,187.3637111,278.906,139.453,139453000000,1019647745,1019.647745,20.39295489,50.98238723,35.68767106,3.655883146
Profundidad,2,150,15,0.5,27.8906,13.9453,2,187.3637111,418.359,209.1795,209179500000,1529471617,1529.471617,30.58943234,76.47358085,53.53150659,3.655883146
Profundidad,2,150,20,0.5,27.8906,13.9453,2,187.3637111,557.812,278.906,278906000000,2039295489,2039.295489,40.78590979,101.9647745,71.37534213,3.655883146
Profundidad,2,180,10,1,23.2032,11.6016,2,191.8569056,232.032,232.032,232032000000,1813642384,1813.642384,36.27284768,90.68211919,63.47748343,7.816345952
Profundidad,2,180,15,1,23.2032,11.6016,2,191.8569056,348.048,348.048,348048000000,2720463576,2720.463576,54.40927151,136.0231788,95.21622515,7.816345952
Profundidad,2,180,20,1,23.2032,11.6016,2,191.8569056,464.064,464.064,464064000000,3627284768,3627.284768,72.54569535,181.3642384,126.9549669,7.816345952
Profundidad,2,180,10,0.5,23.2032,11.6016,2,191.8569056,232.032,116.016,116016000000,906821191.9,906.8211919,18.13642384,45.3410596,31.73874172,3.908172976
Profundidad,2,180,15,0.5,23.2032,11.6016,2,191.8569056,348.048,174.024,174024000000,1360231788,1360.231788,27.20463576,68.01158939,47.60811258,3.908172976
Profundidad,2,180,20,0.5,23.2032,11.6016,2,191.8569056,464.064,232.032,232032000000,1813642384,1813.642384,36.27284768,90.68211919,63.47748343,3.908172976
Profundidad,6,150,10,1,30,30,1,188.325962,300,300,300000000000,2225544995,2225.544995,44.5108999,111.2772498,77.89407483,7.418483317
Profundidad,6,150,15,1,30,30,1,188.325962,450,450,450000000000,3338317493,3338.317493,66.76634985,166.9158746,116.8411122,7.418483317
Profundidad,6,150,20,1,30,30,1,188.325962,600,600,600000000000,4451089990,4451.08999,89.0217998,222.5544995,155.7881497,7.418483317
Profundidad,6,150,10,0.5,30,30,1,188.325962,300,150,150000000000,1112772498,1112.772498,22.25544995,55.63862488,38.94703741,3.709241658
Profundidad,6,150,15,0.5,30,30,1,188.325962,450,225,225000000000,1669158746,1669.158746,33.38317493,83.45793731,58.42055612,3.709241658
Profundidad,6,150,20,0.5,30,30,1,188.325962,600,300,300000000000,2225544995,2225.544995,44.5108999,111.2772498,77.89407483,3.709241658
Profundidad,10,200,10,0.5,0,0,0,,0,0,0,0,0,0,0,0,0
Profundidad,10,200,10,1,0,0,0,,0,0,0,0,0,0,0,0,0
Profundidad,10,200,15,0.5,0,0,0,,0,0,0,0,0,0,0,0,0
Profundidad,10,200,15,1,0,0,0,,0,0,0,0,0,0,0,0,0
Profundidad,10,200,20,0.5,0,0,0,,0,0,0,0,0,0,0,0,0
Profundidad,10,200,20,1,0,0,0,,0,0,0,0,0,0,0,0,0
Profundidad,2.5,180,10,1,22.9688,11.4844,2,190.8419297,229.688,229.688,229688000000,1768820551,1768.820551,35.37641102,88.44102756,61.90871929,7.70097067
Profundidad,2.5,180,15,1,22.9688,11.4844,2,190.8419297,344.532,344.532,344532000000,2653230827,2653.230827,53.06461653,132.6615413,92.86307894,7.70097067
Profundidad,2.5,180,20,1,22.9688,11.4844,2,190.8419297,459.376,459.376,459376000000,3537641102,3537.641102,70.75282205,176.8820551,123.8174386,7.70097067
